clase,llave,descripcion,base_gravable_pct,tarifa_pct,base_minima,cuentas_contables,conceptos
RENTA,1016,COMPRA COMBUSTIBLES DERIV. DEL PET 0.1%,100.0,0.1,0.0,23654003        COMPRA COMBUS. Y DERIV PETROL,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1015,COMPRA DE CAFÉ PERGAMINO CEREZA 0.5%PJUR,100.0,0.5,3486000.0,23654002        COMPRAS CAFE PERGAMINO O CERE,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos
RENTA,1039,COMPRA DE CAFÉ PERGAMINO CEREZA 0.5%PNAT,100.0,0.5,3486000.0,23654008        COMPRAS CAFE PERGAMINO O CERE,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos
RENTA,1033,COMPRA VEHICULOS 1%,100.0,1.0,0.0,23654006        COMPRAS VEHICULO 1% PERSONA J,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1023,COMPRA Y OTROS ING.TRIBUT. 3.5% SIN BASE,100.0,3.5,0.0,23654004        COMPRAS GENERALES 3.5% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1032,COMPRA Y OTROS INGR. TRIBU 1.5%SIN BASE,100.0,1.5,0.0,23654005        COMPRAS GENERALES 1.5% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1022,COMPRA Y OTROS INGR.TRIBT.2.5% S.BASE PJ,100.0,2.5,0.0,23654001        COMPRAS GENERALES 2.5% P. JUR,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1040,COMPRA Y OTROS INGR.TRIBT.2.5% S.BASE PN,100.0,2.5,0.0,23654007        COMPRAS GENERALES 2.5% P. NAT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1031,COMPRA Y OTROS INGR.TRIBUT.2.5% SIN BASE,100.0,2.5,0.0,23654001        COMPRAS GENERALES 2.5% P. JUR,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1014,COMPRA Y OTROS INGRESOS TRIBU 2.5% P.JUR,100.0,2.5,498000.0,23654001        COMPRAS GENERALES 2.5% P. JUR,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1038,COMPRA Y OTROS INGRESOS TRIBU 2.5% P.NAT,100.0,2.5,498000.0,23654007        COMPRAS GENERALES 2.5% P. NAT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1018,COMPRA Y OTROS INGRESOS TRIBUTARIOS 3.5%,100.0,3.5,498000.0,23654004        COMPRAS GENERALES 3.5% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,3017,RETE ICA COMPRAS 3.5,100.0,0.175,1582484.0,,
RENTA,1034,RETEFTA COMPRA EN EL EXTERIOR,100.0,2.5,0.0,23654001        COMPRAS GENERALES 2.5% P. JUR,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,1035,RETEFTA COMPRA EN EL EXTERIOR,100.0,20.0,0.0,23655002        RETENCION DE COMPRAS  DEL EXT,Compra de servicios
RENTA,1052,RETEFUENTE REGALIAS 2.5% PJ,100.0,0.25,0.0,23654009        RETEFUENTE REGALIAS 2.5% PJ,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RENTA,3033,RETENCION ICA 3.6 ARMENIA,100.0,0.36,226000.0,23680309        RETE ICA SERVICIOS 8.0 ACTIV,Compra de servicios
RENTA,1050,RETENCION INDEPENDIENTES ART 383,100.0,0.0,0.0,23650502        RETENCION INDEPENDIENTES ART,Compra de servicios
RTECOMIS,1027,COMISIONES 10%,100.0,10.0,0.0,23652002        COMISIONES 10% PERSONA NATURA,Compra de servicios | Nota débito de servicios - compra
RTECOMIS,1003,COMISIONES 11%,100.0,11.0,0.0,23652001        COMISIONES 11% PERSONA JURIDI,Compra de servicios | Nota débito de servicios - compra
RTEHON,1001,HONORARIOS 10%,100.0,10.0,0.0,23651502        HONORARIOS 10% PERSONA NATURA,Compra de servicios | Nota débito de servicios - compra
RTEHON,1002,HONORARIOS 11% PERSONA JURIDICA,100.0,11.0,0.0,23651501        HONORARIOS 11% PERSONA JURIDI,Compra de servicios | Nota débito de servicios - compra
RTEHON,1047,HONORARIOS 11% PERSONA NATURAL,100.0,11.0,0.0,23651501        HONORARIOS 11% PERSONA JURIDI | 23651505        HONORARIOS 11% PERSONA NATURA,Compra de servicios | Nota débito de servicios - compra
RTEHON,1017,HONORARIOS SERV LIC SOFTWARE 3.5%,100.0,3.5,0.0,23651503        HONORARIOS 3.5% PERSONA JURID,Compra de servicios | Nota débito de servicios - compra
RTESERV,1013,"CONTRATOS CONSTR, URBANIZACIÓN 2% P. JUR",100.0,2.0,498000.0,23652506        CONTRATOS DE CONSTR BN INMUEB,Compra de servicios | Nota débito de servicios - compra
RTESERV,1044,"CONTRATOS CONSTR, URBANIZACIÓN 2% P. NAT",100.0,2.0,498000.0,23652514        CONTRATOS DE CONSTR BN INMUEB,Compra de servicios | Nota débito de servicios - compra
RTESERV,1049,RETEFTE SERVICIOS PRESTADOS EXTERIOR 20%,100.0,20.0,0.0,23655003        RETENCION DE SERVICIOS DEL EX,Compra de servicios
RTESERV,1030,RETENCION POR SERVICIOS DEL EXTERIOR,100.0,20.0,0.0,23655001        RETENCION SERVICIOS EXT (OJO,Compra de servicios
